Reference, Quantity,Description, Value, Altronics Part Number,unit cost,total,Source,,,
A1 ,1,Arduino Nano,Arduino_Nano_v2.x,,, $-   ,Existing,,,
C3 C1 ,2,Bypass Capacitors,.1uF,R2865, $0.20 , $0.40 ,Altronics,,,
DS1 ,1,Display,WC1602A,,, $-   ,Existing,,,
J2 ,1,male pin headers,Conn_01x03_Female,P5430,,,makers,,,
J3 J4 ,2,male pin headers,Conn_02x10_Odd_Even,P5430,,,makers,,,
R3 ,1,current limting resistor,330,,,,makers,,,
SW1 SW2 SW3 ,3,tactile switches,SW_Push_Open,S1120, $1.10 , $3.30 ,Altronics,,,
U1 ,1,six way schmitt trigger,SN74HC14N,Z8514 , $1.40 , $1.40 ,Altronics,,,
U2 ,1,,74HC137,Z8638, $1.95 , $1.95 ,Altronics,,,
Hall Effect Sensor,1,Hall Effect Sensor,z6367,z6367, $5.70 , $5.70 ,Altronics,, total , $12.75 
