"Source:","C:\Users\henry\OneDrive - The University of Western Australia\ENSC3023\lcd_code_updated\schematics\odometer_project.sch"
"Date:","12/10/2020 1:47:37 PM"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","34"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"A1, ","1","Arduino_Nano_v2.x","Arduino_Nano_v2.x-MCU_Module","Module:Arduino_Nano","",""
"C1, ","1",".1uF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Unpolarized capacitor",""
"C2, C3, C4, ","3","0.1uF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Unpolarized capacitor",""
"D4, D5, D1, D2, D3, ","5","LED_Yellow","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Light emitting diode",""
"DS1, ","1","WC1602A","WC1602A","Display:WC1602A","LCD 16x2 Alphanumeric , 8 bit parallel bus, 5V VDD",""
"J2, J1, ","2","Conn_01x03_Female","Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, J4, ","2","Conn_02x10_Odd_Even","Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","Generic connector, double row, 02x10, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"JP2, JP1, ","2","Jumper_3_Open","Jumper_3_Open","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Jumper, 3-pole, both open",""
"R1, R2, R4, R5, R6, R7, ","6","10K","R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor",""
"R3, R11, R12, R8, R9, R10, ","6","330","R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor",""
"RV1, ","1","R_POT","R_POT","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","Potentiometer",""
"SW1, SW2, SW3, ","3","SW_SPST","SW_SPST","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","Single Pole Single Throw (SPST) switch",""
"U1, ","1","SN74HC14N","SN74HC14N","Package_DIP:DIP-14_W7.62mm_LongPads","IC INVERTER SCHMITT 6CH 14DIP",""
